ticket_code,last_name,first_name,email,product,transferred_from_code,transferred_from_email
C2T75A,Ardinghelli,Crazy,modest.ishizaka@noop.com,Hard Rock - Lakeview Balcony Suite (RFP Sale),R35HR,
K45227,Chaum,Gallant,gallant.chaum@noop.com,Hard Rock - Standard King (Post Sale),,
9H8TNK,Joliot,Gracious,gracious.joliot@noop.com,Hard Rock - Standard King (Post Sale),,
TXNMA5,Fermi,Eager,eager.fermi@noop.com,Hard Rock - Standard King (Post Sale),,
8T7CRH,Jemison,Busy,busy.jemison@noop.com,Bally's - Standard 2 Queens (Post Sale),,
X7XX3A,Bhaskara,Relaxed,relaxed.bhaskara@noop.com,Hard Rock - Balcony King (Post Sale),,
5K2RH4,Merkle,Objective,priceless.brahmagupta@noop.com,Art Room Bally's - Standard 2 Queens (Post Sale),,
K479N2,Elbakyan,Vibrant,vibrant.elbakyan@noop.com,Bally's - Standard 2 Queens (Post Sale),,
2D2RD9,Shannon,Jovial,jovial.shannon@noop.com,Hard Rock - Standard King (Post Sale),,
28C833,Mendeleev,Upbeat,bold.dubinsky@noop.com,Hard Rock - Lakeview 2 Queens (Post Sale),,
7XTTRC,Herschel,Peaceful,peaceful.herschel@noop.com,Hard Rock - Standard King,C6HC5,
D96TH3,Benz,Beautiful,beautiful.benz@noop.com,Hard Rock - Lakeview King,HTR83,
DD7CHK,Stonebraker,Epic,epic.stonebraker@noop.com,Hard Rock - Standard King (Post Sale),,
D88485,Clarke,Priceless,priceless.clarke@noop.com,Hard Rock - Standard King (Post Sale),,
RHR54C,Tereshkova,Cranky,cranky.tereshkova@noop.com,Hard Rock - Standard King (Post Sale),,
83N96H,Agnesi,Kind,kind.agnesi@noop.com,Hard Rock - Mountain View Suite,CR77DN,
RR63MT,Elbakyan,Upbeat,upbeat.elbakyan@noop.com,Bally's - Standard 2 Queens (Post Sale),,
ND38D6,Curie,Busy,busy.curie@noop.com,Bally's - Standard 2 Queens,X3DAT,
4AR8R5,Easley,Wonderful,festive.darwin@noop.com,Art Room Bally's - Standard 2 Queens,N8TR7,
4C6AXM,Napier,Inspiring,affectionate.shirley@noop.com,Hard Rock - Mountain View Suite,4H8CMA,
N8X6XR,Easley,Wonderful,festive.darwin@noop.com,Art Room Bally's - Standard King,XH37H3,
7HX2XD,Stonebraker,Inspiring,inspiring.stonebraker@noop.com,Bally's - Standard 2 Queens (RFP Sale),R554X,
XAX93C,Yonath,Practical,practical.yonath@noop.com,Hard Rock - Lakeview Balcony King,M2D34,
3D7528,Dirac,Recursing,recursing.dirac@noop.com,Bally's - Standard 2 Queens,5RCX5D,
R57KDH,Proskuriakova,Jovial,jovial.proskuriakova@noop.com,Hard Rock - Lakeview Balcony King (Post Sale),,
7M2HRT,Chatelet,Amazing,upbeat.lamport@noop.com,Bally's - Standard 2 Queens (Post Sale),,
KKMMC7,Swirles,Frosty,frosty.swirles@noop.com,Bally's - Standard 2 Queens,9DH9X,
5RCX5D,Mclean,Focused,charming.kirch@noop.com,Bally's - Standard 2 Queens,8HKMM,
3KNAR9,Rosalind,Xenodochial,flamboyant.roentgen@noop.com,Art Room Bally's - Standard 2 Queens,2H536,
M6H3MD,Feynman,Nifty,objective.bohr@noop.com,Hard Rock - Balcony King,N2T97,
TA3DN7,Leakey,Exciting,exciting.leakey@noop.com,Bally's - Standard King (RFP Sale),KM7KT,
2DA3K7,Nightingale,Interesting,interesting.nightingale@noop.com,Bally's - Standard 2 Queens,TKHCX,
67K58K,Chandrasekhar,Serene,eager.kapitsa@noop.com,Hard Rock - Standard 2 Queens (50% fee),,
5AD9M9,Matsumoto,Boring,boring.matsumoto@noop.com,Hard Rock - Standard King,9HX52,
RKXK4A,Kowalevski,Gracious,gracious.kowalevski@noop.com,Hard Rock - Lakeview Balcony King,64NH6,
HNKT9D,Ganguly,Vibrant,vibrant.ganguly@noop.com,Art Room Bally's - Standard 2 Queens,C66DR,
9N6TA5,Yonath,Adoring,adoring.yonath@noop.com,Bally's - Standard 2 Queens (Post Sale),,
3C2H76,Cannon,Nervous,nervous.cannon@noop.com,Bally's - Standard 2 Queens (Post Sale),,
86362R,Ganguly,Clever,clever.ganguly@noop.com,Bally's - Standard 2 Queens (Post Sale),H775X7,
HHTDNK,Ganguly,Keen,peaceful.bell@noop.com,Bally's - Sierra 2 Queens Suite,D32HD,
34CT9X,Almeida,Tender,strange.black@noop.com,Bally's - Standard 2 Queens (50% fee),,
9T9AD5,Satoshi,Condescending,xenodochial.haibt@noop.com,Hard Rock - Standard King,8T97D,
ANH67R,Fermi,Stoic,dazzling.noether@noop.com,Bally's - Standard 2 Queens,H8NA7,
7RARAA,Jones,Keen,keen.jones@noop.com,Art Room Bally's - Standard 2 Queens,7677H,
H775X7,Tu,Hungry,hungry.tu@noop.com,Bally's - Standard 2 Queens (Post Sale),,
3RNN2H,Cartwright,Mystifying,strange.lewin@noop.com,Hard Rock - Mountain View Suite,6HNMX3,
XH37H3,Bartik,Goofy,upbeat.lamport@noop.com,Art Room Bally's - Standard King,2NN5H,
84TXNC,Nobel,Flamboyant,flamboyant.nobel@noop.com,Hard Rock - Pool View Balcony Suite,75253A,
28KND5,Yalow,Affectionate,affectionate.yalow@noop.com,Hard Rock - Lakeview Balcony King (Post Sale),,
K5CKTT,Ardinghelli,Sweet,sweet.ardinghelli@noop.com,Hard Rock - Mountain View Suite,5C76D,
HX67HA,Hopper,Keen,keen.hopper@noop.com,Art Room Bally's - Standard 2 Queens,XAK3K,
TM34KH,Mendeleev,Upbeat,bold.dubinsky@noop.com,Bally's - Tahoe King Suite (Post Sale),,
6CT7A2,Liskov,Busy,busy.liskov@noop.com,Bally's - Standard King (Post Sale),,
5XMHX9,Mclean,Busy,busy.mclean@noop.com,Bally's - Standard 2 Queens (Post Sale),,
9T73CX,Wing,Funny,funny.wing@noop.com,Bally's - Standard 2 Queens,8MCDR,
NKR2ND,Chatelet,Nifty,nifty.chatelet@noop.com,Hard Rock - Balcony King,7T24AX,
7T24AX,Mcclintock,Kind,condescending.goldstine@noop.com,Hard Rock - Balcony King,N3T44,
CTHR6N,Dubinsky,Quirky,quirky.dubinsky@noop.com,Bally's - Sierra King Suite (Post Sale),,
HT48D9,Jennings,Gifted,gifted.jennings@noop.com,Bally's - Standard 2 Queens (Post Sale),,
95X5DC,Swanson,Quirky,quirky.swanson@noop.com,Bally's - Standard 2 Queens,8MXN7,
5KK949,Diffie,Confident,confident.diffie@noop.com,Bally's - Standard 2 Queens,H9T5A,
9M8MH5,Wozniak,Stupefied,stupefied.wozniak@noop.com,Art Room Bally's - Standard 2 Queens (RFP Sale),NNMA5,
D449K9,Elion,Eager,eager.elion@noop.com,Bally's - Standard King (Post Sale),,
5MAK3N,Zhukovsky,Relaxed,relaxed.zhukovsky@noop.com,Hard Rock - Standard 2 Queens (50% fee),,
3DAD6D,Euler,Suspicious,elastic.mendeleev@noop.com,Bally's - Standard 2 Queens (Direct Sale),KRA2M,
N42D53,Elgamal,Gallant,gallant.elgamal@noop.com,Art Room Bally's - Standard 2 Queens (Post Sale),,
4A96D6,Merkle,Objective,priceless.brahmagupta@noop.com,Bally's - Sierra King Suite (Post Sale),,
54H66K,Mendeleev,Angry,exciting.edison@noop.com,Bally's - Standard 2 Queens (Post Sale),5XA99M,
5XA99M,Mendeleev,Angry,exciting.edison@noop.com,Bally's - Standard 2 Queens (Post Sale),,
888KXN,Franklin,Quirky,condescending.archimedes@noop.com,Art Room Bally's - Standard 2 Queens (RFP Sale),CNXC7,
AR65DR,Ganguly,Keen,peaceful.bell@noop.com,Art Room Bally's - Standard 2 Queens,CN35X,
C4KKCN,Davinci,Inspiring,brave.herschel@noop.com,Bally's - Standard 2 Queens,7AKK53,
AM5R86,Poitras,Elated,vigilant.bouman@noop.com,Bally's - Sierra King Suite,5T37K,
857TD3,Herschel,Naughty,hungry.driscoll@noop.com,Bally's - Standard 2 Queens (RFP Sale),RNRT3,
MMKT44,Heyrovsky,Sleepy,friendly.merkle@noop.com,Bally's - Standard King,DX638,
7AKK53,Poitras,Elated,vigilant.bouman@noop.com,Bally's - Standard 2 Queens,2C598,
CR77DN,Yonath,Quirky,quirky.yonath@noop.com,Hard Rock - Mountain View Suite,7X2RN,
75253A,Euler,Suspicious,elastic.mendeleev@noop.com,Hard Rock - Pool View Balcony Suite,5783D,
4KHM76,Leavitt,Elated,elated.leavitt@noop.com,Bally's - Standard King,MD4T7,
44HD7K,Dhawan,Trusting,trusting.dhawan@noop.com,Bally's - Standard King,2X976,
3RMX62,Davinci,Blissful,dreamy.saha@noop.com,Bally's - Tahoe King Suite,79288,
4H8CMA,Chatelet,Amazing,upbeat.lamport@noop.com,Hard Rock - Mountain View Suite,M6X63,
H8TRXC,Ganguly,Pensive,happy.hawking@noop.com,Bally's - Standard 2 Queens (Post Sale),,
M9RMMT,Jepsen,Hungry,hungry.jepsen@noop.com,Bally's - Standard 2 Queens,9KMHK,
75D3NA,Heyrovsky,Modest,modest.heyrovsky@noop.com,Bally's - Sierra King Suite,DDH9X,
9847D9,Sinoussi,Romantic,romantic.sinoussi@noop.com,Bally's - Standard 2 Queens (Direct Sale),4HX5K,
T54RHD,Buck,Great,great.buck@noop.com,Bally's - Standard King,N3787,
RA2TDC,Banzai,Silly,silly.banzai@noop.com,Hard Rock - Mountain View Suite,KN7R4,
CN3A57,Cartwright,Lucid,lucid.cartwright@noop.com,Art Room Bally's - Standard King,R72X4,
3NHM3T,Gauss,Confident,confident.gauss@noop.com,Art Room Bally's - Standard King,XAAT7,
97DDTC,Kirch,Clever,clever.kirch@noop.com,Hard Rock - Lakeview Balcony King,9N4RT,
TAMTK7,Dhawan,Wonderful,wonderful.dhawan@noop.com,Bally's - Standard King (RFP Sale),C6MN8,
AR5T6H,Bohr,Elated,elated.bohr@noop.com,Hard Rock - Lakeview Balcony King,5M6XR,
4T384X,Ardinghelli,Crazy,modest.ishizaka@noop.com,Bally's - Standard 2 Queens,8X68D,
DM2DM6,Fermi,Gifted,gifted.fermi@noop.com,Bally's - Standard 2 Queens,537N9,
67AX76,Elion,Xenodochial,xenodochial.elion@noop.com,Bally's - Standard 2 Queens,TKD94,
8M42XD,Saha,Hardcore,hardcore.saha@noop.com,Bally's - Standard 2 Queens,R22RN,
84DH6C,Williams,Zealous,zealous.williams@noop.com,Bally's - Standard 2 Queens,935HA2,
6HNMX3,Maxwell,Funny,funny.maxwell@noop.com,Hard Rock - Mountain View Suite,9C656,
935HA2,Perlman,Inspiring,inspiring.perlman@noop.com,Bally's - Standard 2 Queens,AX49C,
7X66X9,Bell,Unruffled,unruffled.bell@noop.com,Art Room Bally's - Standard 2 Queens,88K5K,
N8TR7,Napier,Inspiring,affectionate.shirley@noop.com,Art Room Bally's - Standard 2 Queens,R97CC,
TXRN4,Chandrasekhar,Interesting,interesting.chandrasekhar@noop.com,Hard Rock - Standard King (RFP Sale),KRN23,
H5X3D,Almeida,Keen,keen.almeida@noop.com,Bally's - Standard 2 Queens,8T737,
27NMD,Bose,Cool,cool.bose@noop.com,Bally's - Standard 2 Queens,AX865,
8D66M,Almeida,Vibrant,vibrant.almeida@noop.com,Bally's - Standard 2 Queens (RFP Sale),8ACD6,
7C8X5,Carson,Distracted,distracted.carson@noop.com,Bally's - Executive King Suite,5CX86,
XDC3T,Lamport,Zen,zen.lamport@noop.com,Hard Rock - Mountain View Suite,A7TK4,
R2235,Chaplygin,Quizzical,quizzical.chaplygin@noop.com,Art Room Bally's - Standard 2 Queens,3CRRK,
MD2MA,Dhawan,Cool,cool.dhawan@noop.com,Hard Rock - Lakeview 2 Queens,C3XA3,
3R4D5,Meitner,Eager,eager.meitner@noop.com,Hard Rock - Standard King,CAK6D,
R3ADC,Tharp,Practical,practical.tharp@noop.com,Hard Rock - Mountain View Suite,CM349,
63MC8,Kare,Fervent,fervent.kare@noop.com,Bally's - Standard 2 Queens,N3ANX,
TXM7R,Northcutt,Quirky,quirky.northcutt@noop.com,Hard Rock - Lakeview Balcony King,7R752,
HNNAT,Buck,Crazy,crazy.buck@noop.com,Bally's - Standard 2 Queens,K4DKH,
8TTMC,Brattain,Dazzling,dazzling.brattain@noop.com,Art Room Bally's - Standard 2 Queens,XXD7A,
4X252,Goldwasser,Thirsty,thirsty.goldwasser@noop.com,Art Room Bally's - Standard 2 Queens,,
A6MH6,Turing,Dazzling,dazzling.turing@noop.com,Art Room Bally's - Standard 2 Queens,,
KR858,Cerf,Sad,sad.cerf@noop.com,Hard Rock - Pool View Balcony Suite,,
XXD7A,Hofstadter,Great,great.hofstadter@noop.com,Art Room Bally's - Standard 2 Queens,,
H6RRR,Noyce,Happy,happy.noyce@noop.com,Hard Rock - Lakeview Balcony Suite,,
7X2RN,Keller,Ecstatic,ecstatic.keller@noop.com,Hard Rock - Mountain View Suite,,
T83HK,Pare,Recursing,recursing.pare@noop.com,Bally's - Standard 2 Queens,,
9C656,Payne,Crazy,crazy.payne@noop.com,Hard Rock - Mountain View Suite,,
7M573,Haibt,Kind,kind.haibt@noop.com,Art Room Bally's - Standard 2 Queens,,
D865N,Hodgkin,Bold,admiring.stonebraker@noop.com,Bally's - Standard 2 Queens,,
H75MT,Bose,Gallant,gallant.bose@noop.com,Hard Rock - Balcony King,,
XAK3K,Chaum,Agitated,agitated.chaum@noop.com,Art Room Bally's - Standard 2 Queens,,
A23MC,Nash,Dreamy,dreamy.nash@noop.com,Art Room Bally's - Standard 2 Queens,,
93CTT,Dhawan,Gracious,gracious.dhawan@noop.com,Art Room Bally's - Standard 2 Queens,,
T9HAD,Moore,Jovial,jovial.moore@noop.com,Art Room Bally's - Standard 2 Queens,,
27R9C,Pare,Lucid,eager.roentgen@noop.com,Art Room Bally's - Standard 2 Queens,,
2H536,Pare,Lucid,eager.roentgen@noop.com,Art Room Bally's - Standard 2 Queens,,
KN7R4,Shannon,Blissful,blissful.shannon@noop.com,Hard Rock - Mountain View Suite,,
79436,Noyce,Cool,cool.noyce@noop.com,Hard Rock - Lakeview Balcony Suite,,
N6MCA,Chandrasekhar,Epic,epic.chandrasekhar@noop.com,Art Room Bally's - Standard 2 Queens,,
2324C,Tharp,Crazy,crazy.tharp@noop.com,Bally's - Standard 2 Queens,,
T5HC9,Mclean,Silly,silly.mclean@noop.com,Bally's - Standard 2 Queens,,
5C76D,Kilby,Heuristic,vigilant.ride@noop.com,Hard Rock - Mountain View Suite,,
64NH6,Kilby,Heuristic,vigilant.ride@noop.com,Hard Rock - Lakeview Balcony King,,
297A2,Dijkstra,Eloquent,eloquent.dijkstra@noop.com,Hard Rock - Mountain View Suite,,
XRKNR,Satoshi,Mystifying,mystifying.satoshi@noop.com,Bally's - Sierra King Suite,,
T53MN,Nightingale,Beautiful,beautiful.nightingale@noop.com,Bally's - Executive King Suite,,
634CM,Thompson,Practical,practical.thompson@noop.com,Bally's - Standard King,,
TKD94,Archimedes,Cranky,cranky.archimedes@noop.com,Bally's - Standard 2 Queens,,
R22RN,Murdock,Nifty,nifty.murdock@noop.com,Bally's - Standard 2 Queens,,
H5R65,Goldstine,Focused,focused.goldstine@noop.com,Art Room Bally's - Standard 2 Queens,,
79288,Davinci,Blissful,dreamy.saha@noop.com,Bally's - Tahoe King Suite,,
TMCA6,Pare,Happy,happy.pare@noop.com,Bally's - Standard King,,
3MTHD,Ptolemy,Beautiful,beautiful.ptolemy@noop.com,Bally's - Standard King,,
C66DR,Bose,Quizzical,quizzical.bose@noop.com,Art Room Bally's - Standard 2 Queens,,
C6CXC,Lewin,Hardcore,boring.edison@noop.com,Bally's - Standard King,,
XAAT7,Lewin,Hardcore,boring.edison@noop.com,Art Room Bally's - Standard King,,
7X59X,Shannon,Lucid,lucid.shannon@noop.com,Hard Rock - Mountain View Suite,,
34R8H,Mcclintock,Busy,busy.mcclintock@noop.com,Bally's - Standard 2 Queens,,
7677H,Satoshi,Condescending,xenodochial.haibt@noop.com,Art Room Bally's - Standard 2 Queens,,
DNNAC,Shannon,Dreamy,dreamy.shannon@noop.com,Bally's - Standard 2 Queens,,
3NXCR,Einstein,Unruffled,unruffled.einstein@noop.com,Art Room Bally's - Standard 2 Queens,,
N2T97,Feynman,Nifty,objective.bohr@noop.com,Hard Rock - Balcony King,,
A8X85,Nobel,Objective,objective.nobel@noop.com,Bally's - Standard 2 Queens,,
N9A4C,Morse,Hopeful,compassionate.sutherland@noop.com,Bally's - Standard King,,
AKX9H,Morse,Hopeful,compassionate.sutherland@noop.com,Bally's - Standard 2 Queens,,
KT839,Poitras,Quizzical,quizzical.poitras@noop.com,Hard Rock - Mountain View Suite,,
CN35X,Brattain,Loving,loving.brattain@noop.com,Art Room Bally's - Standard 2 Queens,,
K26RR,Banach,Dreamy,dreamy.banach@noop.com,Art Room Bally's - Standard 2 Queens,,
5783D,Clarke,Unruffled,trusting.northcutt@noop.com,Hard Rock - Pool View Balcony Suite,,
H6AM2,Clarke,Unruffled,trusting.northcutt@noop.com,Art Room Bally's - Standard 2 Queens,,
AX49C,Kilby,Goofy,goofy.kilby@noop.com,Bally's - Standard 2 Queens,,
4K8HM,Borg,Brave,brave.borg@noop.com,Hard Rock - Lakeview Balcony King,,
62K5N,Kapitsa,Interesting,interesting.kapitsa@noop.com,Bally's - Standard King,,
H6ADN,Edison,Eager,eager.edison@noop.com,Hard Rock - Lakeview Balcony King,,
8A386,Kalam,Vigorous,vigorous.kalam@noop.com,Hard Rock - Balcony King,,
933M6,Burnell,Clever,clever.burnell@noop.com,Bally's - Standard 2 Queens,,
TX5M2,Hertz,Sharp,sharp.hertz@noop.com,Bally's - Sierra King Suite,,
TKHCX,Goldstine,Pensive,pensive.goldstine@noop.com,Bally's - Standard 2 Queens,,
8MCDR,Haibt,Jolly,jolly.haibt@noop.com,Bally's - Standard 2 Queens,,
38M28,Leavitt,Angry,angry.leavitt@noop.com,Hard Rock - Lakeview Balcony King,,
7DM82,Hypatia,Wizardly,stupefied.carver@noop.com,Bally's - Standard King,,
X3DAT,Khorana,Inspiring,inspiring.khorana@noop.com,Bally's - Standard 2 Queens,,
3HC8H,Noether,Sharp,sharp.noether@noop.com,Bally's - Standard 2 Queens,,
2MA7A,Brattain,Great,great.brattain@noop.com,Art Room Bally's - Standard 2 Queens,,
R8T52,Nightingale,Musing,musing.nightingale@noop.com,Bally's - Standard 2 Queens,,
NNDRD,Sinoussi,Crazy,crazy.sinoussi@noop.com,Bally's - Standard 2 Queens,,
4K5H2,Yonath,Sad,sad.yonath@noop.com,Hard Rock - Lakeview Balcony King,,
TC7K2,Mahavira,Modest,modest.mahavira@noop.com,Bally's - Standard 2 Queens,,
CCT6X,Golick,Laughing,laughing.golick@noop.com,Bally's - Standard 2 Queens,,
359KD,Tesla,Xenodochial,xenodochial.tesla@noop.com,Bally's - Standard 2 Queens,,
C36C9,Murdock,Cool,cool.murdock@noop.com,Hard Rock - Balcony King,,
8MXN7,Mendel,Epic,epic.mendel@noop.com,Bally's - Standard 2 Queens,,
537N9,Bouman,Epic,affectionate.swanson@noop.com,Bally's - Standard 2 Queens,,
5CX86,Bouman,Epic,affectionate.swanson@noop.com,Bally's - Executive King Suite,,
N3ANX,Boyd,Mystifying,mystifying.boyd@noop.com,Bally's - Standard 2 Queens,,
AX865,Rhodes,Laughing,sleepy.robinson@noop.com,Bally's - Standard 2 Queens,,
8T737,Rhodes,Laughing,sleepy.robinson@noop.com,Bally's - Standard 2 Queens,,
3CRRK,Khayyam,Adoring,adoring.khayyam@noop.com,Art Room Bally's - Standard 2 Queens,,
R5N5H,Shannon,Interesting,interesting.shannon@noop.com,Hard Rock - Balcony King,,
HDCRM,Lovelace,Dazzling,dazzling.lovelace@noop.com,Bally's - Tahoe King Suite,,
X62K7,Elbakyan,Hardcore,hardcore.elbakyan@noop.com,Bally's - Standard 2 Queens,,
3TDMR,Gauss,Infallible,inspiring.keldysh@noop.com,Bally's - Standard King,,
882XK,Gauss,Infallible,inspiring.keldysh@noop.com,Art Room Bally's - Standard 2 Queens,,
28A38,Yalow,Gracious,gracious.yalow@noop.com,Bally's - Standard 2 Queens,,
NMHR4,Kirch,Goofy,zealous.mcclintock@noop.com,Art Room Bally's - Standard 2 Queens,,
6TTD2,Mcclintock,Zealous,zealous.mcclintock@noop.com,Art Room Bally's - Standard 2 Queens,,
9TD2X,Moser,Compassionate,stoic.lewin@noop.com,Bally's - Sierra 2 Queens Suite,,
68XC2,Rhodes,Gracious,gracious.rhodes@noop.com,Bally's - Sierra King Suite,,
2ATKK,Wing,Recursing,recursing.wing@noop.com,Bally's - Standard 2 Queens,,
98MA4,Sinoussi,Jolly,jolly.sinoussi@noop.com,Hard Rock - Lakeview King,,
8R488,Bell,Jovial,jovial.bell@noop.com,Bally's - Standard King,,
KHRRK,Ellis,Nostalgic,nostalgic.ellis@noop.com,Art Room Bally's - Standard 2 Queens,,
8R7X3,Goldwasser,Flamboyant,flamboyant.goldwasser@noop.com,Bally's - Standard King,,
XXKXM,Neumann,Gracious,gracious.neumann@noop.com,Bally's - Standard King,,
K4DKH,Lichterman,Boring,priceless.albattani@noop.com,Bally's - Standard 2 Queens,,
65CRH,Bartik,Thirsty,thirsty.bartik@noop.com,Bally's - Standard 2 Queens (RFP Sale),HX37D,
DRH27,Northcutt,Trusting,sleepy.fermat@noop.com,Bally's - Standard King (Direct Sale),KXXCX,
3594M,Bhaskara,Strange,focused.shockley@noop.com,Bally's - Sierra King Suite,XM866,
NKXRR,Davinci,Inspiring,brave.herschel@noop.com,Bally's - Standard 2 Queens,4CX84,
KXXCX,Mestorf,Gifted,gifted.mestorf@noop.com,Bally's - Standard King (Direct Sale),,
4CX84,Bhaskara,Strange,focused.shockley@noop.com,Bally's - Standard 2 Queens,N978T,
XRMAN,Jennings,Dreamy,dreamy.jennings@noop.com,Bally's - Standard 2 Queens,2TAHA,
296A9,Jackson,Affectionate,affectionate.jackson@noop.com,Hard Rock - Balcony King (RFP Sale),,
7N58C,Chaplygin,Vigilant,vigilant.chaplygin@noop.com,Bally's - Standard 2 Queens (Direct Sale),,
TCD52,Lehmann,Upbeat,upbeat.lehmann@noop.com,Art Room Bally's - Standard 2 Queens (RFP Sale),,
7NTK6,Kare,Serene,serene.kare@noop.com,Bally's - Standard King (Direct Sale),,
5A87C,Pike,Nervous,condescending.lalande@noop.com,Hard Rock - Lakeview Balcony Suite (RFP Sale),,
58766,Volhard,Vigorous,vigorous.volhard@noop.com,Bally's - Standard King (Direct Sale),R66HD,
R66HD,Wilson,Infallible,infallible.wilson@noop.com,Bally's - Standard King (Direct Sale),,
DDH9X,Euler,Eloquent,eloquent.euler@noop.com,Bally's - Sierra King Suite,H7MN3,
X6564,Wright,Busy,busy.wright@noop.com,Bally's - Standard King (Direct Sale),,
D952D,Neumann,Vigorous,vigorous.neumann@noop.com,Bally's - Standard King (Direct Sale),TN7MH,
KRA2M,Brattain,Naughty,jolly.blackwell@noop.com,Bally's - Standard 2 Queens (Direct Sale),,
9697A,Davinci,Interesting,interesting.davinci@noop.com,Art Room Bally's - Standard 2 Queens,4A8TN,
MAT29,Maxwell,Confident,confident.maxwell@noop.com,Hard Rock - Standard King (RFP Sale),,
KC8T9,Benz,Optimistic,optimistic.benz@noop.com,Hard Rock - Standard King (RFP Sale),N8TA9,
7X583,Noether,Dazzling,dazzling.noether@noop.com,Hard Rock - Lakeview Balcony Suite (RFP Sale),,
H3A2A,Sanderson,Condescending,condescending.sanderson@noop.com,Bally's - Standard King,6XT5D,
HTD6X,Kalam,Focused,focused.kalam@noop.com,Hard Rock - Lakeview Balcony Suite (RFP Sale),,
KXC9C,Hofstadter,Thirsty,thirsty.hofstadter@noop.com,Bally's - Standard 2 Queens (Direct Sale),,
3MH35,Joliot,Pedantic,pedantic.joliot@noop.com,Bally's - Standard 2 Queens,DCCAC,
2N92H,Lewin,Hardcore,boring.edison@noop.com,Hard Rock - Standard King (RFP Sale),MCC3N,
MNNX3,Gould,Boring,boring.gould@noop.com,Bally's - Standard 2 Queens (Direct Sale),,
THH2D,Carver,Intelligent,intelligent.carver@noop.com,Hard Rock - Standard King (RFP Sale),,
N8TA9,Chandrasekhar,Serene,eager.kapitsa@noop.com,Hard Rock - Standard King (RFP Sale),,
2N455,Kepler,Romantic,romantic.kepler@noop.com,Bally's - Standard 2 Queens,337NX,
