Placement Verified,Floor,Room,Room Type,"Room Features (Accessibility, Lakeview, Smoking)",Connected To Room,First Name (Resident),Last Name (Resident),Secondary Name,Room Owned By (Secret Party),Check-in Date,Check-out Date,Art Room,Art Room Type,Art Name / Placed Name,Placed By,Changeable,Change Reason,Guest Restriction Notes,Room Notes,Placement Team Notes,Paying guest?,Department,Ticket ID in SecretParty
FALSE,3,318,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,319,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,320,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,321,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,322,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,323,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,324,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,325,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,326,Executive Suite,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,327,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,328,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,329,Queen,,"329, 331",Heuristic,Robinson,Loving Goldwasser,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
FALSE,3,330,Queen,,"330, 332",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,331,Queen,ADA,"329, 331",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,332,Queen,,"330, 332",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,333,Queen,,"333, 335",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,334,Queen,,"334, 336",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,335,Queen,,"333, 335",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,336,Queen,,"334, 336",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,337,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,3,338,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,401,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,402,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,403,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,404,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,405,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,406,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,407,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,408,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,409,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,410,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,411,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,412,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,413,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,414,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,415,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,416,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,417,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,418,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,419,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,420,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,421,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,422,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,423,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,424,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,425,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,426,Executive Suite,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,427,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,428,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,429,Queen,,"429, 431",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,430,Queen,,"430, 432",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,431,Queen,,"431, 433",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,432,Queen,,"430, 432",Heuristic,Robinson,Loving Goldwasser,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
FALSE,4,433,Queen,,"431, 433",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,434,Queen,,"434, 436",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,435,Queen,,"435, 437",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,436,Queen,,"434, 436",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,437,Queen,,"435, 437",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,4,438,Queen,,"436, 438",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,501,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,502,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,503,King,,,Gracious,Wozniak,,,Wed - 11/8,Tue - 11/14,,,,Charming Mendeleev,Yes,,low floor,,,Comp,Safety,n/a
FALSE,5,504,King,,,Zen,Bardeen,Awesome Keller,,Mon - 11/6,Wed - 11/15,,,,Charming Mendeleev,Yes,,low floor,,,Comp,Safety,n/a
FALSE,5,505,King,,,Hopeful,Mahavira,,,Wed - 11/8,Mon - 11/13,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,506,Queen,,,Vigilant,Thompson,Inspiring Kirch,,Mon - 11/6,Wed - 11/15,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,507,Queen,,,Vigilant,Thompson,Inspiring Kirch,,Thur - 11/9,Tue - 11/14,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,508,Queen,,,Vigilant,Thompson,Inspiring Kirch,,Thur - 11/9,Mon - 11/13,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,509,Queen,,,Loving,Gould,Dreamy Faraday,,Fri - 11/10,Wed - 11/15,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,510,King,,,Condescending,Snyder,,,Thur - 11/9,Tue - 11/14,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,511,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,512,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,513,Queen,,,Zen,Khayyam,Funny Yalow,,Thur - 11/9,Mon - 11/13,,,,Charming Mendeleev,Yes,,,,,Comp,Safety,n/a
FALSE,5,514,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,515,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,516,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,517,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,5,518,Queen,,,Charming,Beaver,Mystifying Franklin,,Tue - 11/7,Mon - 11/13,,,,Dreamy Einstein,Yes,,,,,Comp,4th Wall,n/a
TRUE,5,519,Queen,,,Amazing,Carson,Vigorous Wozniak,,Thur - 11/9,Mon - 11/13,,,,Dreamy Einstein,Yes,,,,,Comp,4th Wall,n/a
FALSE,5,520,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,521,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,522,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,523,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,524,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,525,Queen,,,Zen,Kirch,,,Fri - 11/10,Mon - 11/13,,,,Exciting Mestorf,Yes,,"Close to stairs, flr 5",,,Yes,Guest,HK8HHN
FALSE,5,526,Executive Suite,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,527,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,528,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,529,King,,"529, 531",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,530,King,,"530, 532",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,531,Queen,ADA,"529, 531",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,532,Queen,,"530, 532",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,533,Queen,,"533, 535",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,534,Queen,,"534, 536",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,535,King,,"533, 535",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,536,King,,"534, 536",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,537,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,5,538,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,601,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,602,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,6,603,King,,,Sweet,Montalcini,,,Fri - 11/10,Mon - 11/13,,,,Charming Mendeleev,Yes,,Adjacent kings 6th floor,,,Yes,Guest,84HDN
TRUE,6,604,King,,,Pedantic,Germain,,,Wed - 11/8,Tue - 11/14,,,,Dreamy Einstein,Yes,,Floor 5,,,Comp,4th Wall,n/a
TRUE,6,605,King,,,Great,Buck,,,Fri - 11/10,Mon - 11/13,,,,Charming Mendeleev,Yes,,Adjacent kings 6th floor,,,Yes,Guest,T54RHD
FALSE,6,606,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,607,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,608,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,609,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,610,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,611,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,612,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,613,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,6,614,Queen,,,Competent,Chaum,Intelligent Joliot,,Tue - 11/7,Tue - 11/14,,,,Dreamy Einstein,No,,,,,Comp,4th Wall,n/a
TRUE,6,615,King,,,Vigorous,Volhard,,,Thur - 11/9,Mon - 11/13,,,,Dreamy Einstein,No,,,,,Yes,Guest,58766
TRUE,6,616,King,,,Sleepy,Bouman,Wonderful Jepsen,,Mon - 11/6,Tue - 11/14,,,,Dreamy Einstein,No,,,,,Comp,4th Wall,n/a
TRUE,6,617,King,,,Infallible,Wilson,Great Tu,,Sun - 11/5,Tue - 11/14,,,,Dreamy Einstein,No,,,,,Comp,4th Wall,n/a
TRUE,6,618,Queen,,,Romantic,Sinoussi,,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,,Yes,Guest,9847D9
FALSE,6,619,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,620,Queen,,,Heuristic,Robinson,Loving Goldwasser,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
TRUE,6,621,Queen,,,Optimistic,Goodall,,,Tue - 11/7,Tue - 11/14,,,,Condescending Lamport,Yes,,6th floor near Razzele,,,Comp,Art,n/a
FALSE,6,622,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,623,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,624,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,625,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
TRUE,6,626,Executive Suite,,,Priceless,Lichterman,,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,,Yes,Guest,4M958
FALSE,6,627,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,628,Queen,,,Heuristic,Newton,,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,Yes,,close to shelby Mcauliffe,,,Yes,Guest,4437N
TRUE,6,629,King,,"629, 631",Heuristic,Carver,Vigorous Bartik,,Sun - 11/5,Tue - 11/14,,,,Dreamy Einstein,No,,,,,Comp,4th Wall,n/a
TRUE,6,630,King,,"630, 632",Boring,Joliot,,,Wed - 11/8,Mon - 11/13,,,,Dreamy Einstein,No,,,,,Comp,4th Wall,n/a
FALSE,6,631,Queen,ADA,"629, 631",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,632,Queen,ADA,"630, 632",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,633,Queen,,"633, 635",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,634,Queen,,"634, 636",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,635,King,,"633, 635",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,636,King,,"634, 636",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,637,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,6,638,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,701,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,702,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,703,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,704,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,705,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,706,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,707,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,708,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,709,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,710,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,711,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,712,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,713,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,714,Queen,,,Heuristic,Robinson,,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
FALSE,7,715,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,716,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,717,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,718,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,719,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,720,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,721,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,722,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,723,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,724,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,725,Queen,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,726,Executive Suite,Smoking,,Heuristic,Robinson,Loving Goldwasser,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
FALSE,7,727,Queen,Smoking,,Silly,Mcnulty,Relaxed Galois,,Tue - 11/7,Tue - 11/14,,,,Charming Mendeleev,Yes,,smoking room,,,Comp,Production,n/a
FALSE,7,728,Queen,Smoking,,Quizzical,Blackwell,,,Tue - 11/7,Mon - 11/13,,,,Charming Mendeleev,Yes,,smoking room,,,Comp,Production,n/a
FALSE,7,729,King,Smoking,"729, 731",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,730,King,Smoking,"730, 732",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,731,Queen,ADA Smoking,"729, 731",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,732,Queen,ADA Smoking,"730, 732",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,733,Queen,Smoking,"733, 735",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,734,Queen,Smoking,"734, 736",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,735,King,Smoking,"733, 735",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,736,King,Smoking,"734, 736",,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,737,King,Smoking,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,7,738,Queen,Smoking,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,801,Queen,Hearing Accessible,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,802,Queen,,,Sharp,Poitras,Admiring Heisenberg,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,803,King,,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,804,King,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,805,King,,,Pensive,Galileo,,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,Yes,,near flight court,,,Yes,Guest,4DC8N
FALSE,8,806,Queen,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,807,Queen,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,808,Queen,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,809,Queen,,,Sweet,Austin,Beautiful Pare,,Mon - 11/6,Tue - 11/14,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,810,Queen,Lakeview,,Kind,Galileo,Gallant Lamarr,,Wed - 11/8,Tue - 11/14,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,811,Queen,,,Nostalgic,Chaplygin,Charming Aryabhata,,Thur - 11/9,Mon - 11/13,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,Split with Production,Comp,Art,n/a
FALSE,8,812,King,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,813,Queen,,,Crazy,Cartwright,Pedantic Shirley,,Wed - 11/8,Mon - 11/13,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,814,Queen,,,Sharp,Kilby,Dazzling Wing,,Fri - 11/10,Mon - 11/13,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,815,King,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,816,King,,,Goofy,Antonelli,,,Thur - 11/9,Mon - 11/13,,,,Charming Mendeleev,Yes,,,,,Comp,Production,n/a
FALSE,8,817,King,Lakeview,,,,,,Fri - 11/10,Mon - 11/13,,,,Roombaht,,,,,,,,
FALSE,8,818,Queen,,,Gracious,Roentgen,Strange Jemison,,Tue - 11/7,Tue - 11/14,,,,Condescending Lamport,Yes,,Try to keep on 8/9 floor,,,Comp,Art,n/a
FALSE,8,819,Queen,Lakeview,,Heuristic,Robinson,Loving Goldwasser,,Fri - 11/10,Mon - 11/13,,,,Dreamy Einstein,No,,,,4th wall reserve,Comp,4th Wall,n/a
FALSE,8,820,Queen,,,Distracted,Hodgkin,,,Fri - 11/10,Mon - 11/13,,,,Charming Mendeleev,Yes,,Keep two rooms together,,,Comp,Production,n/a
